IATA,id,name,city,country,ICAO,latitude,longitude,altitude,timezone,dst,tz,type,source,CRIMINAL ACTORS (AVERAGE),MAFIA-STYLE GROUPS,CRIMINAL NETWORKS,STATE-EMBEDDED ACTORS,FOREIGN ACTORS,CRIMINAL MARKETS (AVERAGE),HUMAN TRAFFICKING,HUMAN SMUGGLING,ARMS TRAFFICKING,FLORA CRIMES,FAUNA CRIMES,"NON-RENEWABLE
NON-RENEWABLE RESOURCE CRIMES",HEROIN TRADE,COCAINE TRADE,CANNABIS TRADE,SYNTHETIC DRUG TRADE,RESILIENCE (AVERAGE),POLITICAL LEADERSHIP AND GOVERNANCE,GOVERNMENT TRANSPARENCY AND ACCOUNTABILITY,INTERNATIONAL COOPERATION,NATIONAL POLICIES AND LAWS,JUDICIAL SYSTEM AND DETENTION,LAW ENFORCEMENT,TERRITORIAL INTEGRITY,ANTI-MONEY LAUNDERING SYSTEMS,ECONOMIC REGULATORY CAPACITY,VICTIM AND WITNESS SUPPORT,PREVENTION,NON-STATE ACTORS,population,in_cites_2021,in_cites_2016,in_cites_2017,in_cites_2018,in_cites_2019,in_cites_2020,degree_full,between_full,close_full,eigen_full,pr_full,degree_in_full,degree_out_full,origin_count,transit_count,destination_count,seizure_count,incident_counts,binary_incident_observed,binary_origin_observed,binary_destination_observed,binary_transit_observed
AER,2965,Sochi International Airport,Sochi,russia,URSS,43.449902,39.9566,89,3,N,Europe/Moscow,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,343334,1,0,0,0,0,0,0.007763975,3.982881977039932e-06,0.086598895,0.001129169,0.000250921,0.000517598,0.007246377,0,0,0,0,0,0,0,0,0
KZN,2990,Kazan International Airport,Kazan,russia,UWKD,55.60620117,49.27870178,411,3,N,Europe/Moscow,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,1143535,1,0,0,0,0,0,0.010351966873706004,3.415212267510454e-06,0.086628644,0.001185728,0.000266165,0.001035197,0.00931677,0,0,0,0,0,0,0,0,0
ASF,2966,Astrakhan Airport,Astrakhan,russia,URWA,46.28329849,48.00630188,-65,4,N,Europe/Samara,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,520339,1,0,0,0,0,0,0.004140787,1.0990346614735702e-06,0.086628644,0.001188561,0.000263498,0.001035197,0.00310559,0,0,0,0,0,0,0,0,0
MRV,2962,Mineralnyye Vody Airport,Mineralnye Vody,russia,URMM,44.22510147094727,43.08190155029297,1054,3,N,Europe/Moscow,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,74141,1,0,0,0,0,0,0.007246377,1.6118592259690334e-05,0.086628644,0.001188703,0.000288273,0.001035197,0.00621118,0,0,0,0,0,0,0,0,0
CEK,2968,Chelyabinsk Balandino Airport,Chelyabinsk,russia,USCC,55.305801,61.5033,769,5,N,Asia/Yekaterinburg,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,1202371,1,0,0,0,0,0,0.00621118,8.967667140970011e-07,0.086628644,0.001188561,0.000263498,0.001035197,0.005175983,0,0,0,0,0,0,0,0,0
OVB,4078,Tolmachevo Airport,Novosibirsk,russia,UNNT,55.01259995,82.65070343,365,7,N,Asia/Krasnoyarsk,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,1473754,1,0,0,0,0,0,0.024327122,0.00058445,0.086987231,0.001297851,0.000377487,0.002070393,0.022256729,0,0,1,1,1,1,0,1,0
DME,4029,Domodedovo International Airport,Moscow,russia,UUDD,55.40879821777344,37.90629959106445,588,3,N,Europe/Moscow,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,11979529,1,0,0,0,0,0,0.096273292,0.024114382510443837,0.11384920245456118,0.022543220661378156,0.000822959,0.007763975,0.088509317,5,2,9,8,18,1,1,1,1
NBC,6969,Begishevo Airport,Nizhnekamsk,russia,UWKE,55.564701080322266,52.09249877929688,643,3,N,Europe/Moscow,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,234044,1,0,0,0,0,0,0.002587992,1.780373879369719e-07,0.086658414,0.001129169,0.000250921,0.000517598,0.002070393,0,0,0,0,0,0,0,0,0
UUA,6160,Bugulma Airport,Bugulma,russia,UWKB,54.63999938964844,52.801700592041016,991,3,N,Europe/Moscow,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,84522,1,0,0,0,0,0,0.001035197,0,0.086688203,0.001129169,0.000250921,0.000517598,0.000517598,0,0,0,0,0,0,0,0,0
EGO,6156,Belgorod International Airport,Belgorod,russia,UUOB,50.64379883,36.59009933,735,3,N,Europe/Moscow,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,356402,1,0,0,0,0,0,0.002070393,0,0.086658414,0.001129169,0.000250921,0.000517598,0.001552795,0,0,0,0,0,0,0,0,0
KGD,2952,Khrabrovo Airport,Kaliningrad,russia,UMKK,54.88999938964844,20.59259986877441,42,2,N,Europe/Kaliningrad,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,431402,1,0,0,0,0,0,0.004140787,3.6722471639337122e-06,0.086747844,0.001185728,0.00032206,0.001035197,0.00310559,0,0,0,0,0,0,0,0,0
GYD,2922,Heydar Aliyev International Airport,Baku,azerbaijan,UBBB,40.46749877929688,50.04669952392578,10,4,E,Asia/Baku,airport,OurAirports,6,5.5,5.5,7.5,5.5,4.15,4.5,3,3,3.5,3.5,6,6,3,5,4,4.08,3.5,3.5,5.5,4,2.5,4,5,4.5,4,4,5,3.5,2293100,1,0,1,1,0,0,0.015527950310559008,1.4131150267598302e-05,0.086718014,0.001253718,0.000278818,0.001552795,0.013975155279503106,0,0,0,0,0,0,0,0,0
LED,2948,Pulkovo Airport,St. Petersburg,russia,ULLI,59.80030059814453,30.262500762939453,78,3,N,Europe/Moscow,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,4879566,1,0,0,0,0,0,0.052277433,0.002899639,0.08716764,0.001724043,0.000545327,0.005693582,0.046583851,0,0,0,0,0,0,0,0,0
SVX,2975,Koltsovo Airport,Yekaterinburg,russia,USSS,56.74309921,60.80270004,764,5,N,Asia/Yekaterinburg,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,1350136,1,0,0,0,0,0,0.026397515527950312,0.000785421,0.087227943,0.001585716,0.00036802,0.004140787,0.022256729,0,0,0,0,0,0,0,0,0
